,x,y,,max140,,140/135,140以上は140いかに変換
0,-84.83358409,-0.177361047,,131.963353,,136.8508846,136.8508846
1,-86.34663655,0.913362982,,134.3169902,,139.2916935,139.2916935
2,-84.83358409,-0.177361047,,131.963353,,136.8508846,136.8508846
3,-84.2248001,-0.045239404,,131.0163557,,135.8688133,135.8688133
4,-68.46311051,1.079357127,,106.4981719,,110.4425486,110.4425486
5,-86.41085836,0.540047183,,134.4168908,,139.3952942,139.3952942
6,-60.59284766,0.538063073,,94.25554081,,97.74648677,97.74648677
7,-49.32762414,-0.998225696,,76.73185977,,79.5737805,79.5737805
8,-85.34631803,0.264182537,,132.7609392,,137.678011,137.678011
9,-49.32762414,-0.998225696,,76.73185977,,79.5737805,79.5737805
10,-86.15467733,0.18224501,,134.018387,,138.982031,138.982031
11,-56.10891548,0.279891393,,87.2805352,,90.51314761,90.51314761
12,-86.28809256,0.04644189,,134.2259218,,139.1972522,139.1972522
13,-63.42693807,0.954443513,,98.66412589,,102.3183528,102.3183528
14,-42.31913715,-1.107499801,,65.8297689,,68.26790849,68.26790849
15,-86.41411864,0.053722323,,134.4219623,,139.4005535,139.4005535
16,-42.31913715,-1.107499801,,65.8297689,,68.26790849,68.26790849
17,-86.64445379,0.280909531,,134.7802615,,139.772123,139.772123
18,-60.45425229,-0.658167667,,94.03994801,,97.52290905,97.52290905
19,-86.66104688,-0.519843562,,134.8060729,,139.7988904,139.7988904
20,-85.84573388,1.640455343,,133.5378083,,138.4836531,138.4836531
21,-65.00192072,-0.166365529,,101.1140989,,104.8590655,104.8590655
22,-86.20126386,0.265606495,,134.0908549,,139.0571829,139.0571829
23,-65.00192072,-0.166365529,,101.1140989,,104.8590655,104.8590655
24,-83.36632341,0.170475672,,129.6809475,,134.4839456,134.4839456
25,-60.27456294,-0.410353707,,93.76043124,,97.2330398,97.2330398
26,-85.93857368,-0.521574037,,133.6822257,,138.6334192,138.6334192
27,-84.49393449,-0.535543602,,131.4350092,,136.3029725,136.3029725
28,-83.35511188,0.365616709,,129.6635074,,134.4658595,134.4658595
29,-86.26146548,0.04432495,,134.1845019,,139.1542983,139.1542983
30,-83.35511188,0.365616709,,129.6635074,,134.4658595,134.4658595
31,-87.36947455,-0.272102741,,135.9080715,,140.9417038,139.0582962
32,-76.60760017,0.763565218,,119.167378,,123.5809846,123.5809846
33,-87.26822894,3.063033997,,135.7505783,,140.7783775,139.2216225
34,-52.90465805,-0.39006817,,82.29613475,,85.34413974,85.34413974
35,-57.12627207,-0.646038392,,88.86308989,,92.15431544,92.15431544
36,-85.68258148,2.002643423,,133.2840156,,138.2204606,138.2204606
37,-57.12627207,-0.646038392,,88.86308989,,92.15431544,92.15431544
38,-86.14698483,0.155489561,,134.0064208,,138.9696216,138.9696216
39,-59.26146151,-0.52265697,,92.18449568,,95.59873626,95.59873626
40,-85.78852655,-1.575491363,,133.4488191,,138.391368,138.391368
41,-73.26779874,-0.487891506,,113.9721314,,118.1933215,118.1933215
42,-79.85211899,-0.393781412,,124.2144073,,128.8149409,128.8149409
43,-86.12457308,0.047916357,,133.9715581,,138.9334677,138.9334677
44,-79.85211899,-0.393781412,,124.2144073,,128.8149409,128.8149409
45,-86.39996061,-0.584744699,,134.3999387,,139.3777142,139.3777142
46,-47.61384678,-0.639435065,,74.06598388,,76.80916847,76.80916847
47,-85.6855972,0.14281497,,133.2887068,,138.2253256,138.2253256
48,-70.03680202,1.003421493,,108.9461365,,112.9811786,112.9811786
49,-49.91733459,-0.833068327,,77.64918714,,80.52508296,80.52508296
50,-83.18802855,-4.793557463,,129.4036,,134.1963259,134.1963259
51,-49.91733459,-0.833068327,,77.64918714,,80.52508296,80.52508296
52,-83.09196997,-1.618185971,,129.2541755,,134.0413672,134.0413672
53,-51.41691835,-0.854328847,,79.98187298,,82.94416457,82.94416457
54,-85.82987079,-1.208663818,,133.5131323,,138.4580631,138.4580631
55,-69.6091889,0.047284881,,108.2809605,,112.2913664,112.2913664
56,-73.73466571,0.152119041,,114.6983689,,118.9464566,118.9464566
57,-85.61256009,0.106663266,,133.1750935,,138.1075044,138.1075044
58,-73.73466571,0.152119041,,114.6983689,,118.9464566,118.9464566
59,-85.70260856,0.449985037,,133.3151689,,138.2527677,138.2527677
60,-54.85471929,-1.116106965,,85.32956333,,88.48991753,88.48991753
61,-86.00558488,-0.076707664,,133.7864654,,138.7415197,138.7415197
62,-65.15856474,-0.407753774,,101.3577674,,105.1117588,105.1117588
63,-84.3721243,0.474724252,,131.2455267,,136.1064721,136.1064721
64,-85.797987,0.182839584,,133.4635353,,138.4066292,138.4066292
65,-84.3721243,0.474724252,,131.2455267,,136.1064721,136.1064721
66,-86.04071907,0.02603413,,133.8411185,,138.798197,138.798197
67,-80.35387566,0.463599154,,124.9949177,,129.6243591,129.6243591
68,-86.11669603,1.867837098,,133.9593049,,138.9207606,138.9207606
69,-57.05208524,1.588905476,,88.74768816,,92.03463957,92.03463957
70,-53.94162566,1.104941583,,83.90919547,,87.01694345,87.01694345
71,-86.04432215,-0.003821071,,133.8467233,,138.8040093,138.8040093
72,-53.94162566,1.104941583,,83.90919547,,87.01694345,87.01694345
73,-86.23760648,-0.257455914,,134.1473879,,139.1158097,139.1158097
74,-66.70286763,0.46202167,,103.7600163,,107.6029799,107.6029799
75,-86.29183114,-3.071991794,,134.2317373,,139.2032831,139.2032831
76,-82.05668198,1.524049361,,127.6437275,,132.371273,132.371273
77,-70.22601969,-0.505703366,,109.2404751,,113.2864186,113.2864186
78,-85.23812928,0.231749701,,132.5926456,,137.5034843,137.5034843
79,-70.22601969,-0.505703366,,109.2404751,,113.2864186,113.2864186
80,-85.37535582,1.181639551,,132.8061091,,137.7248539,137.7248539
81,-72.73518573,-0.89779457,,113.1436223,,117.3341268,117.3341268
82,-85.87933211,0.215360275,,133.5900722,,138.5378527,138.5378527
83,-72.47013908,0.137123305,,112.7313275,,116.9065619,116.9065619
84,-79.8411318,-1.516070711,,124.1973161,,128.7972167,128.7972167
85,-86.02486244,-0.466858476,,133.8164527,,138.7726176,138.7726176
86,-79.8411318,-1.516070711,,124.1973161,,128.7972167,128.7972167
87,-86.012701,-1.23854952,,133.7975349,,138.7529992,138.7529992
88,-83.76895119,1.129257003,,130.3072574,,135.1334521,135.1334521
89,-84.9177346,-0.748804099,,132.0942538,,136.9866336,136.9866336
90,-54.69030375,-0.226510148,,85.07380584,,88.22468754,88.22468754
91,-85.45458406,0.766160339,,132.929353,,137.8526624,137.8526624
92,-86.28138422,0.754349977,,134.2154866,,139.1864305,139.1864305
93,-85.45458406,0.766160339,,132.929353,,137.8526624,137.8526624
94,-86.23630974,0.173115022,,134.1453707,,139.1137178,139.1137178
95,-77.40338114,0.106504651,,120.4052596,,124.8647137,124.8647137
96,-85.83669365,0.089976742,,133.5237457,,138.4690696,138.4690696
